Rank,Washing Machine Name,Rating,Price,Product Link,Start Time,End Time
16,"IFB 8 Kg 5 Star Powered by AI with 9 Swirl Wash, WiFi, Fully Automatic Front Load Washing Machine (Senator MBN 8012, Steam Re",4.1 out of 5 stars,"₹32,827.00",https://www.amazon.in/IFB-Automatic-MBN-8012-Inverter/dp/B0DCNVBFCL/ref=zg_bs_g_1380373031_d_sccl_16/259-2893573-4903325?psc=1,2025-08-05 21:09:02,2025-08-05 21:09:02
17,Whirlpool 6 kg Magic Clean 5 Star and Digital Display Fully Automatic Top Load Washing Machine Grey (MAGIC CLEAN 6.0 GENX GRE,3.8 out of 5 stars,"₹12,990.00",https://www.amazon.in/Whirlpool-MAGIC-CLEAN-6-0-GENX/dp/B0DSBQVGBP/ref=zg_bs_g_1380373031_d_sccl_17/259-2893573-4903325?psc=1,2025-08-05 21:09:02,2025-08-05 21:09:02
18,"Bosch 8 kg, 5 Star, AI Active Water+, Anti-Tangle, Steam Anti Bacterial, Anti-Wrinkle Fully-Automatic Front Loading Washing M",4.2 out of 5 stars,"₹33,990.00",https://www.amazon.in/Bosch-Fully-Automatic-Loading-Washing-WAJ2826BIN/dp/B0D47334T5/ref=zg_bs_g_1380373031_d_sccl_18/259-2893573-4903325?psc=1,2025-08-05 21:09:02,2025-08-05 21:09:02
19,"Whirlpool 7.0 Kg 5 Star MAGIC CLEAN Semi-Automatic Top Loading Washing Machine (MAGIC CLEAN RYL SRS 7.0 GREY DAZZLE (5YR), 4",4.2 out of 5 stars,"₹9,790.00",https://www.amazon.in/Whirlpool-Semi-Automatic-Loading-Comprehensive-Warranty/dp/B0DGLLG6FR/ref=zg_bs_g_1380373031_d_sccl_19/259-2893573-4903325?psc=1,2025-08-05 21:09:02,2025-08-05 21:09:02
20,"Samsung 9 kg, 5 star, Eco Bubble Technology, Wi-Fi, Soft Closing Door, Fully-Automatic Top Load Washing Machine (WA90BG4542BD",4.3 out of 5 stars,"₹22,990.00",https://www.amazon.in/Samsung-Fully-Automatic-Ecobubble-WA90BG4542BDTL-technology/dp/B0B8NHPWZF/ref=zg_bs_g_1380373031_d_sccl_20/259-2893573-4903325?psc=1,2025-08-05 21:09:02,2025-08-05 21:09:02
21,"Samsung 9 kg, 5 Star, AI Control, AI Ecobubble, Super Speed, Wi-Fi, Hygiene Steam with Inbuilt Heater, Digital Inverter, Full",4.3 out of 5 stars,"₹39,490.00",https://www.amazon.in/Samsung-Ecobubble-Inverter-Fully-Automatic-WW90DG6U24ASTL/dp/B0DS681G4K/ref=zg_bs_g_1380373031_d_sccl_21/259-2893573-4903325?psc=1,2025-08-05 21:09:02,2025-08-05 21:09:02
22,"IFB 6 Kg 5 Star Powered by AI with 9 Swirl Wash, Fully Automatic Front Load Washing Machine (DIVA GXN 6010, Steam Refresh Pro",4.0 out of 5 stars,"₹23,990.00",https://www.amazon.in/IFB-Automatic-DIVA-GXN-6010/dp/B0DFLT2Q9W/ref=zg_bs_g_1380373031_d_sccl_22/259-2893573-4903325?psc=1,2025-08-05 21:09:02,2025-08-05 21:09:02
23,"LG 9 Kg, 5 Star, Smart Inverter Technology, Turbodrum, Fully Automatic Top Load Washing Machine (T90AJMB1Z, Jetspray+, Turbow",4.2 out of 5 stars,"₹24,990.00",https://www.amazon.in/LG-Washing-Machine-Clean-T90AJMB1Z/dp/B0CKLS4V3G/ref=zg_bs_g_1380373031_d_sccl_23/259-2893573-4903325?psc=1,2025-08-05 21:09:02,2025-08-05 21:09:02
24,"IFB 9 Kg 5 Star with DeepClean® Technology, AI Powered, WiFi, Fully Automatic Front Load Washing Machine (EXECUTIVE MXN 9014K",3.9 out of 5 stars,"₹45,999.00",https://www.amazon.in/IFB-EXECUTIVE-MXN-9014K-CMS/dp/B0F8QV7RCR/ref=zg_bs_g_1380373031_d_sccl_24/259-2893573-4903325?psc=1,2025-08-05 21:09:02,2025-08-05 21:09:02
25,"LG 7 Kg, 5 Star, Steam, Inverter Direct Drive Technology, 6 Motion DD, Fully-Automatic Front Load Washing Machine (FHB1207Z2W",4.3 out of 5 stars,"₹25,990.00",https://www.amazon.in/LG-Technology-Fully-Automatic-FHB1207Z2W-Allergens/dp/B0F4QQVV1L/ref=zg_bs_g_1380373031_d_sccl_25/259-2893573-4903325?psc=1,2025-08-05 21:09:02,2025-08-05 21:09:02
