Rank,Product Name,Rating,Price,Product Link,Scraped Time
5,"IFB 6.5 Kg 5 Star Powered by AI with 9 Swirl Wash, Fully Automatic Front Load Washing Machine (ELENA GXN 6510, Steam Refresh",4.1 out of 5 stars,N/A,https://www.amazon.in/IFB-Automatic-ELENA-GXN-6510/dp/B0DFLWL16S/ref=zg_bs_g_1380369031_d_sccl_5/257-7859944-9146142?psc=1,2025-08-05 21:09:30
6,"Haier 8 kg 5 Star Powered by AI-DBT with PuriSteam, 525mm Super Drum Fully Automatic Front Load Washing Machine (HW80-IM12929",4.2 out of 5 stars,N/A,https://www.amazon.in/Haier-Automatic-Washing-Inverter-HW80-IM12929C/dp/B09QT66RXS/ref=zg_bs_g_1380369031_d_sccl_6/257-7859944-9146142?psc=1,2025-08-05 21:09:30
7,"LG 8 Kg, 5 Star, Smart Inverter Technology, Wi-Fi, Turbowash, Fully Automatic Top Load Washing Machine With In-built heater (",4.0 out of 5 stars,N/A,https://www.amazon.in/LG-Technology-Turbowash-Automatic-T80V4OB1S/dp/B0FDB5W3ZQ/ref=zg_bs_g_1380369031_d_sccl_7/257-7859944-9146142?psc=1,2025-08-05 21:09:30
8,"Samsung 12 kg, 5star, AI Control, AI Ecobubble, Super Speed, Wi-Fi, Hygiene Steam with Inbuilt Heater, Digital Inverter, Full",4.3 out of 5 stars,N/A,https://www.amazon.in/Samsung-Ecobubble-Inverter-Fully-Automatic-WW12DG6B24ASTL/dp/B0DFCWTNT6/ref=zg_bs_g_1380369031_d_sccl_8/257-7859944-9146142?psc=1,2025-08-05 21:09:30
9,"Voltas Beko, A Tata Product 6.5 Kg 5 Star Fully-Automatic Top Loading Washing Machine (WTL6504UEA/OBS2P10 Eco-Series,Dark Gre",4.0 out of 5 stars,N/A,https://www.amazon.in/Voltas-Beko-Fully-Automatic-WTL6504UEA-OBS2P10/dp/B0CW3K1TZL/ref=zg_bs_g_1380369031_d_sccl_9/257-7859944-9146142?psc=1,2025-08-05 21:09:30
10,Ionstar 7 Kg Semi Automatic Washing Machine - 5 Star Rated - 2025 - Top Load - Jet Pulsator - Magic Filter - Special Air Drye,4.3 out of 5 stars,N/A,https://www.amazon.in/Ionstar-Semi-Automatic-Washing-Machine/dp/B0DXQ5V717/ref=zg_bs_g_1380369031_d_sccl_10/257-7859944-9146142?psc=1,2025-08-05 21:09:30
11,"Samsung 12 kg, 5star, AI Ecobubble, Super Speed, Wi-Fi, Hygiene Steam with Inbuilt Heater, Digital Inverter, Fully-Automatic",4.2 out of 5 stars,"₹40,690.00",https://www.amazon.in/Samsung-Ecobubble-Inverter-Fully-Automatic-WW12DG5B24AXTL/dp/B0DFD25CCX/ref=zg_bs_g_1380369031_d_sccl_11/257-7859944-9146142?psc=1,2025-08-05 21:09:30
12,"Panasonic 7 Kg 5 Star Fully-Automatic Top Load Washing Machine (2025 Model, NA-F70LF4CRB, Charcoal Inox Grey, 12 Wash Program",4.2 out of 5 stars,N/A,https://www.amazon.in/Panasonic-Fully-Automatic-NA-F70LF4CRB-Technology-Antibacterial/dp/B0DSZRD6C5/ref=zg_bs_g_1380369031_d_sccl_12/257-7859944-9146142?psc=1,2025-08-05 21:09:30
13,"IFB 5.5 kg Fully-automatic Dryer (TURBO DRY EX, Silver, Wall Mountable,Anti crease)",3.6 out of 5 stars,N/A,https://www.amazon.in/IFB-Dryer-Dry-EX-Silver/dp/B00RE6RL8M/ref=zg_bs_g_1380369031_d_sccl_13/257-7859944-9146142?psc=1,2025-08-05 21:09:30
14,Ionstar 7.5 Kg Semi Automatic Washing Machine - 5 Star Rated - 2025 - Top Load - Jet Pulsator - Magic Filter - Special Air Dr,4.4 out of 5 stars,"₹6,750.00",https://www.amazon.in/Ionstar-Semi-Automatic-Washing-Machine/dp/B0DXQ5MQCF/ref=zg_bs_g_1380369031_d_sccl_14/257-7859944-9146142?psc=1,2025-08-05 21:09:30
